"Pop","Days","Flowers"
"MDDB",88,0
"MDDB",89,0
"MDDB",90,0
"MDDB",91,0
"MDDB",92,0
"MDDB",93,0
"MDDB",94,0
"MDDB",95,0
"MDDB",96,0
"MDDB",97,0
"MDDB",98,0
"MDDB",99,0
"MDDB",100,0
"MDDB",101,0
"MDDB",102,0
"MDDB",103,0
"MDDB",104,0
"MDDB",105,0
"MDDB",106,0
"MDDB",107,0
"MDDB",108,0
"MDDB",109,0
"MDDB",110,0
"MDDB",111,0
"MDDB",112,0
"MDDB",113,0
"MDDB",114,0
"MDDB",115,0
"MDDB",116,0
"MDDB",117,0
"MDDB",118,0
"MDDB",119,0
"MDDB",120,0
"MDDB",121,0
"MDDB",122,0
"MDDB",123,0
"MDDB",124,0
"MDDB",125,0
"ONWH",0,0
"ONWH",1,0.615384615384615
"ONWH",2,1.23076923076923
"ONWH",3,1.84615384615385
"ONWH",4,2.46153846153846
"ONWH",5,3.07692307692308
"ONWH",6,3.69230769230769
"ONWH",7,4.30769230769231
"ONWH",8,4.92307692307692
"ONWH",9,5.53846153846154
"ONWH",10,6.15384615384615
"ONWH",11,6.76923076923077
"ONWH",12,7.38461538461539
"ONWH",13,8
"ONWH",14,6.4
"ONWH",15,4.8
"ONWH",16,3.2
"ONWH",17,1.6
"ONWH",18,0
"ONWH",19,175.8
"ONWH",20,351.6
"ONWH",21,527.4
"ONWH",22,703.2
"ONWH",23,879
"ONWH",24,734.2
"ONWH",25,589.4
"ONWH",26,444.6
"ONWH",27,299.8
"ONWH",28,155
"ONWH",29,221.8
"ONWH",30,288.6
"ONWH",31,355.4
"ONWH",32,422.2
"ONWH",33,489
"ONWH",34,488.4
"ONWH",35,487.8
"ONWH",36,487.2
"ONWH",37,486.6
"ONWH",38,486
"ONWH",39,388.8
"ONWH",40,291.6
"ONWH",41,194.4
"ONWH",42,97.2
"ONWH",43,0
"ONWH",44,47.8
"ONWH",45,95.6
"ONWH",46,143.4
"ONWH",47,191.2
"ONWH",48,239
"ONWH",49,251
"ONWH",50,263
"ONWH",51,275
"ONWH",52,287
"ONWH",53,299
"ONWH",54,245.6
"ONWH",55,192.2
"ONWH",56,138.8
"ONWH",57,85.4
"ONWH",58,32
"ONWH",59,25.6
"ONWH",60,19.2
"ONWH",61,12.8
"ONWH",62,6.4
"ONWH",63,0
"ONWH",64,0
"ONWH",65,0
"ONWH",66,0
"ONWH",67,0
"ONWH",68,0
"ONWH",69,0
"ONWH",70,0
"ONWH",71,0
"ONWH",72,0
"ONWH",73,0
"ONWH",74,0
"ONWH",75,0
"ONWH",76,0
"ONWH",77,0
"ONWH",78,0
"ONWH",79,0
"ONWH",80,0
"ONWH",81,0
"ONWH",82,0
"ONWH",83,0
"ONWH",84,0
"ONWH",85,0
"ONWH",86,0
"ONWH",87,0
"ONWH",88,0
"ONWH",89,0
"ONWH",90,0
"ONWH",91,0
"ONWH",92,0
"ONWH",93,0
"ONWH",94,0
"ONWH",95,0
"ONWH",96,0
"ONWH",97,0
"ONWH",98,0
"ONWH",99,0
"ONWH",100,0
"ONWH",101,0
"ONWH",102,0
"ONWH",103,0
"ONWH",104,0
"ONWH",105,0
"ONWH",106,0
"ONWH",107,0
"ONWH",108,0
"ONWH",109,0
"ONWH",110,0
"ONWH",111,0
"ONWH",112,0
"ONWH",113,0
"ONWH",114,0
"ONWH",115,0
"ONWH",116,0
"ONWH",117,0
"ONWH",118,0
"ONWH",119,0
"ONWH",120,0
"ONWH",121,0
"ONWH",122,0
"ONWH",123,0
"ONWH",124,0
"ONWH",125,0
"NJHP",0,0
"NJHP",1,0.615384615384615
"NJHP",2,1.23076923076923
"NJHP",3,1.84615384615385
"NJHP",4,2.46153846153846
"NJHP",5,3.07692307692308
"NJHP",6,3.69230769230769
"NJHP",7,4.30769230769231
"NJHP",8,4.92307692307692
"NJHP",9,5.53846153846154
"NJHP",10,6.15384615384615
"NJHP",11,6.76923076923077
"NJHP",12,7.38461538461539
"NJHP",13,8
"NJHP",14,6.4
"NJHP",15,4.8
"NJHP",16,3.2
"NJHP",17,1.6
"NJHP",18,0
"NJHP",19,175.8
"NJHP",20,351.6
"NJHP",21,527.4
"NJHP",22,703.2
"NJHP",23,879
"NJHP",24,734.2
"NJHP",25,589.4
"NJHP",26,444.6
"NJHP",27,299.8
"NJHP",28,155
"NJHP",29,221.8
"NJHP",30,288.6
"NJHP",31,355.4
"NJHP",32,422.2
"NJHP",33,489
"NJHP",34,488.4
"NJHP",35,487.8
"NJHP",36,487.2
"NJHP",37,486.6
"NJHP",38,486
"NJHP",39,388.8
"NJHP",40,291.6
"NJHP",41,194.4
"NJHP",42,97.2
"NJHP",43,0
"NJHP",44,47.8
"NJHP",45,95.6
"NJHP",46,143.4
"NJHP",47,191.2
"NJHP",48,239
"NJHP",49,251
"NJHP",50,263
"NJHP",51,275
"NJHP",52,287
"NJHP",53,299
"NJHP",54,245.6
"NJHP",55,192.2
"NJHP",56,138.8
"NJHP",57,85.4
"NJHP",58,32
"NJHP",59,25.6
"NJHP",60,19.2
"NJHP",61,12.8
"NJHP",62,6.4
"NJHP",63,0
"NJHP",64,0
"NJHP",65,0
"NJHP",66,0
"NJHP",67,0
"NJHP",68,0
"NJHP",69,0
"NJHP",70,0
"NJHP",71,0
"NJHP",72,0
"NJHP",73,0
"NJHP",74,0
"NJHP",75,0
"NJHP",76,0
"NJHP",77,0
"NJHP",78,0
"NJHP",79,0
"NJHP",80,0
"NJHP",81,0
"NJHP",82,0
"NJHP",83,0
"NJHP",84,0
"NJHP",85,0
"NJHP",86,0
"NJHP",87,0
"NJHP",88,0
"NJHP",89,0
"NJHP",90,0
"NJHP",91,0
"NJHP",92,0
"NJHP",93,0
"NJHP",94,0
"NJHP",95,0
"NJHP",96,0
"NJHP",97,0
"NJHP",98,0
"NJHP",99,0
"NJHP",100,0
"NJHP",101,0
"NJHP",102,0
"NJHP",103,0
"NJHP",104,0
"NJHP",105,0
"NJHP",106,0
"NJHP",107,0
"NJHP",108,0
"NJHP",109,0
"NJHP",110,0
"NJHP",111,0
"NJHP",112,0
"NJHP",113,0
"NJHP",114,0
"NJHP",115,0
"NJHP",116,0
"NJHP",117,0
"NJHP",118,0
"NJHP",119,0
"NJHP",120,0
"NJHP",121,0
"NJHP",122,0
"NJHP",123,0
